startDate,endDate,weeks,ageGroup,aTotal,aH1pdm09,aH3,aUnS,bTotal,aAndBNumber,aAndbPercentage
"January 20, 2019","January 26, 2019",week 04,0-4,4446,1444,23,2979,34,4480,22%
"January 20, 2019","January 26, 2019",week 04,5-19,3035,1220,21,1794,40,3075,15%
"January 20, 2019","January 26, 2019",week 04,20-44,4204,1512,77,2615,28,4232,21%
"January 20, 2019","January 26, 2019",week 04,45-64,4110,1364,89,2657,39,4149,20%
"January 20, 2019","January 26, 2019",week 04,65+,4213,911,338,2964,105,4318,21%
"January 20, 2019","January 26, 2019",week 04,Total,20008,6451,548,13009,246,20254,100%
"January 13, 2019","January 19, 2019",week 03,0-4,4072,1412,22,2638,32,4104,22%
"January 13, 2019","January 19, 2019",week 03,5-19,2884,1198,21,1665,34,2918,15%
"January 13, 2019","January 19, 2019",week 03,20-44,3975,1482,73,2420,26,4001,21%
"January 13, 2019","January 19, 2019",week 03,45-64,3887,1325,85,2477,33,3920,21%
"January 13, 2019","January 19, 2019",week 03,65+,3896,883,334,2679,84,3980,21%
"January 13, 2019","January 19, 2019",week 03,Total,18714,6300,535,11879,209,18923,100%
"January 6, 2019","January 12, 2019",week 02,0-4,3679,1351,18,2310,28,3707,21%
"January 6, 2019","January 12, 2019",week 02,5-19,2698,1168,17,1513,29,2727,16%
"January 6, 2019","January 12, 2019",week 02,20-44,3676,1412,62,2202,24,3700,21%
"January 6, 2019","January 12, 2019",week 02,45-64,3601,1253,76,2272,29,3630,21%
"January 6, 2019","January 12, 2019",week 02,65+,3464,816,294,2354,67,3531,20%
"January 6, 2019","January 12, 2019",week 02,Total,17118,6000,467,10651,177,17295,100%
"December 30, 2018","January 5, 2019",Week 1,0-4,3175,1239,15,1921,24,3199,21%
"December 30, 2018","January 5, 2019",Week 1,5-19,2498,1108,15,1375,26,2524,17%
"December 30, 2018","January 5, 2019",Week 1,20-44,3277,1294,55,1928,20,3297,22%
"December 30, 2018","January 5, 2019",Week 1,45-64,3020,1077,70,1873,22,3042,20%
"December 30, 2018","January 5, 2019",Week 1,65+,2792,673,246,1873,43,2835,19%
"December 30, 2018","January 5, 2019",Week 1,Total,14762,5391,401,8970,135,14897,100%
"December 16, 2018","December 29, 2018",Week 51-52,0-4,2512,1058,12,1442,18,2530,22%
"December 16, 2018","December 29, 2018",Week 51-52,5-19,2149,968,9,1172,23,2172,19%
"December 16, 2018","December 29, 2018",Week 51-52,20-44,2634,1118,46,1470,16,2650,23%
"December 16, 2018","December 29, 2018",Week 51-52,45-64,2302,935,60,1307,18,2320,20%
"December 16, 2018","December 29, 2018",Week 51-52,65+,1830,568,214,1048,29,1859,16%
"December 16, 2018","December 29, 2018",Week 51-52,Total,11427,4647,341,6439,104,11531,100%
"December 9, 2018","December 15, 2018",Week 50,0-4,1695,865,5,825,10,1705,22%
"December 9, 2018","December 15, 2018",Week 50,5-19,1629,818,6,805,19,1648,21%
"December 9, 2018","December 15, 2018",Week 50,20-44,1903,898,34,971,13,1916,24%
"December 9, 2018","December 15, 2018",Week 50,45-64,1543,726,49,768,11,1554,20%
"December 9, 2018","December 15, 2018",Week 50,65+,1071,414,181,476,20,1091,14%
"December 9, 2018","December 15, 2018",Week 50,Total,7841,3721,275,3845,73,7914,100%
"December 2, 2018","December 8, 2018",Week 49,0-4,1277,698,4,575,10,1287,21%
"December 2, 2018","December 8, 2018",Week 49,5-19,1247,637,5,605,15,1262,21%
"December 2, 2018","December 8, 2018",Week 49,20-44,1490,724,27,739,13,1503,25%
"December 2, 2018","December 8, 2018",Week 49,45-64,1131,555,43,533,9,1140,19%
"December 2, 2018","December 8, 2018",Week 49,65+,813,331,167,315,19,832,14%
"December 2, 2018","December 8, 2018",Week 49,Total,5958,2945,246,2767,66,6024,100%
"November 25, 2018","December 1, 2018",Week 48,0-4,908,517,3,388,6,914,21%
"November 25, 2018","December 1, 2018",Week 48,5-19,925,467,5,453,13,938,21%
"November 25, 2018","December 1, 2018",Week 48,20-44,1100,551,17,532,12,1112,25%
"November 25, 2018","December 1, 2018",Week 48,45-64,816,392,38,386,9,825,19%
"November 25, 2018","December 1, 2018",Week 48,65+,604,259,149,196,16,620,14%
"November 25, 2018","December 1, 2018",Week 48,Total,4353,2186,212,1955,56,4409,100%
"November 18, 2018","November 24, 2018",Week 47,0-4,632,377,3,252,5,637,20%
"November 18, 2018","November 24, 2018",Week 47,5-19,650,334,5,311,11,661,21%
"November 18, 2018","November 24, 2018",Week 47,20-44,797,399,15,383,9,806,26%
"November 18, 2018","November 24, 2018",Week 47,45-64,565,285,32,248,7,572,18
"November 18, 2018","November 24, 2018",Week 47,65+,465,206,131,128,14,479,15%
"November 18, 2018","November 24, 2018",Week 47,Total,3109,1601,186,1322,46,3155,100%startDate,endDate,weeks,ageGroup,aTotal,aH1pdm09,aH3,aUnS,bTotal,aAndBNumber,aAndbPercentage
"April 21","April 27, 2019",Week 17,0-4,6632,1684,228,4720,235,6867,19%
"April 21","April 27, 2019",Week 17,5-19,5040,1391,442,3207,377,5417,15%
"April 21","April 27, 2019",Week 17,20-44,6741,2003,561,4177,260,7001,19%
"April 21","April 27, 2019",Week 17,45-64,6854,1961,592,4301,98,6952,19%
"April 21","April 27, 2019",Week 17,65+,10358,1462,2471,6425,229,10587,29%
"April 21","April 27, 2019",Week 17,Total,35625,8501,4294,22830,1199,36824,100%
"April 14","April 20, 2019",Week 16,0-4,6566,1679,213,4674,195,6761,19%
"April 14","April 20, 2019",Week 16,5-19,4967,1387,416,3164,330,5297,15%
"April 14","April 20, 2019",Week 16,20-44,6661,1990,536,4135,230,6891,19%startDate,endDate,weeks,ageGroup,aTotal,aH1pdm09,aH3,aUnS,bTotal,aAndBNumber,aAndbPercentage
"April 21","April 27, 2019",Week 17,0-4,6632,1684,228,4720,235,6867,19%
"April 21","April 27, 2019",Week 17,5-19,5040,1391,442,3207,377,5417,15%
"April 21","April 27, 2019",Week 17,20-44,6741,2003,561,4177,260,7001,19%
"April 21","April 27, 2019",Week 17,45-64,6854,1961,592,4301,98,6952,19%
"April 21","April 27, 2019",Week 17,65+,10358,1462,2471,6425,229,10587,29%
"April 21","April 27, 2019",Week 17,Total,35625,8501,4294,22830,1199,36824,100%
"April 14","April 20, 2019",Week 16,0-4,6566,1679,213,4674,195,6761,19%
"April 14","April 20, 2019",Week 16,5-19,4967,1387,416,3164,330,5297,15%
"April 14","April 20, 2019",Week 16,20-44,6661,1990,536,4135,230,6891,19%
"April 14","April 20, 2019",Week 16,45-64,6757,1950,549,4258,92,6849,19%
"April 14","April 20, 2019",Week 16,65+,10027,1452,2341,6234,211,10238,28%
"April 14","April 20, 2019",Week 16,Total,34978,8458,4055,22465,1058,36036,100%
"April 7","April 13, 2019",Week 15,0-4,6481,1675,186,4620,173,6654,19%
"April 7","April 13, 2019",Week 15,5-19,4867,1384,382,3101,282,5149,15%
"April 7","April 13, 2019",Week 15,20-44,6548,1979,509,4060,204,6752,19%
"April 7","April 13, 2019",Week 15,45-64,6650,1935,520,4195,89,6739,19%
"April 7","April 13, 2019",Week 15,65+,9682,1439,2191,6052,199,9881,28%
"April 7","April 13, 2019",Week 15,Total,34228,8412,3788,22028,947,35175,100%startDate,endDate,weeks,ageGroup,aTotal,aH1pdm09,aH3,aUnS,bTotal,aAndBNumber,aAndbPercentage
"April 21","April 27, 2019",Week 17,0-4,6632,1684,228,4720,235,6867,19%
"April 21","April 27, 2019",Week 17,5-19,5040,1391,442,3207,377,5417,15%
"April 21","April 27, 2019",Week 17,20-44,6741,2003,561,4177,260,7001,19%
"April 21","April 27, 2019",Week 17,45-64,6854,1961,592,4301,98,6952,19%
"April 21","April 27, 2019",Week 17,65+,10358,1462,2471,6425,229,10587,29%
"April 21","April 27, 2019",Week 17,Total,35625,8501,4294,22830,1199,36824,100%
"April 14","April 20, 2019",Week 16,0-4,6566,1679,213,4674,195,6761,19%
"April 14","April 20, 2019",Week 16,5-19,4967,1387,416,3164,330,5297,15%
"April 14","April 20, 2019",Week 16,20-44,6661,1990,536,4135,230,6891,19%
"April 14","April 20, 2019",Week 16,45-64,6757,1950,549,4258,92,6849,19%
"April 14","April 20, 2019",Week 16,65+,10027,1452,2341,6234,211,10238,28%
"April 14","April 20, 2019",Week 16,Total,34978,8458,4055,22465,1058,36036,100%
"April 7","April 13, 2019",Week 15,0-4,6481,1675,186,4620,173,6654,19%
"April 7","April 13, 2019",Week 15,5-19,4867,1384,382,3101,282,5149,15%
"April 7","April 13, 2019",Week 15,20-44,6548,1979,509,4060,204,6752,19%
"April 7","April 13, 2019",Week 15,45-64,6650,1935,520,4195,89,6739,19%
"April 7","April 13, 2019",Week 15,65+,9682,1439,2191,6052,199,9881,28%
"April 7","April 13, 2019",Week 15,Total,34228,8412,3788,22028,947,35175,100%
"March 31","April 6, 2019",Week 14,0-4,6383,1667,163,4553,161,6544,19%
"March 31","April 6, 2019",Week 14,5-19,4764,1378,352,3034,242,5006,15%
"March 31","April 6, 2019",Week 14,20-44,6370,1957,442,3971,171,6541,19%
"March 31","April 6, 2019",Week 14,45-64,6466,1908,462,4096,86,6552,19%
"March 31","April 6, 2019",Week 14,65+,9117,1404,1902,5811,193,9310,27%
"March 31","April 6, 2019",Week 14,Total,33100,8314,3321,21465,853,33953,100%startDate,endDate,weeks,ageGroup,aTotal,aH1pdm09,aH3,aUnS,bTotal,aAndBNumber,aAndbPercentage
"April 21","April 27, 2019",Week 17,0-4,6632,1684,228,4720,235,6867,19%
"April 21","April 27, 2019",Week 17,5-19,5040,1391,442,3207,377,5417,15%
"April 21","April 27, 2019",Week 17,20-44,6741,2003,561,4177,260,7001,19%
"April 21","April 27, 2019",Week 17,45-64,6854,1961,592,4301,98,6952,19%
"April 21","April 27, 2019",Week 17,65+,10358,1462,2471,6425,229,10587,29%
"April 21","April 27, 2019",Week 17,Total,35625,8501,4294,22830,1199,36824,100%
"April 14","April 20, 2019",Week 16,0-4,6566,1679,213,4674,195,6761,19%
"April 14","April 20, 2019",Week 16,5-19,4967,1387,416,3164,330,5297,15%
"April 14","April 20, 2019",Week 16,20-44,6661,1990,536,4135,230,6891,19%
"April 14","April 20, 2019",Week 16,45-64,6757,1950,549,4258,92,6849,19%
"April 14","April 20, 2019",Week 16,65+,10027,1452,2341,6234,211,10238,28%
"April 14","April 20, 2019",Week 16,Total,34978,8458,4055,22465,1058,36036,100%
"April 7","April 13, 2019",Week 15,0-4,6481,1675,186,4620,173,6654,19%
"April 7","April 13, 2019",Week 15,5-19,4867,1384,382,3101,282,5149,15%
"April 7","April 13, 2019",Week 15,20-44,6548,1979,509,4060,204,6752,19%
"April 7","April 13, 2019",Week 15,45-64,6650,1935,520,4195,89,6739,19%
"April 7","April 13, 2019",Week 15,65+,9682,1439,2191,6052,199,9881,28%
"April 7","April 13, 2019",Week 15,Total,34228,8412,3788,22028,947,35175,100%startDate,endDate,weeks,ageGroup,aTotal,aH1pdm09,aH3,aUnS,bTotal,aAndBNumber,aAndbPercentage
"April 21","April 27, 2019",Week 17,0-4,6632,1684,228,4720,235,6867,19%
"April 21","April 27, 2019",Week 17,5-19,5040,1391,442,3207,377,5417,15%
"April 21","April 27, 2019",Week 17,20-44,6741,2003,561,4177,260,7001,19%
"April 21","April 27, 2019",Week 17,45-64,6854,1961,592,4301,98,6952,19%
"April 21","April 27, 2019",Week 17,65+,10358,1462,2471,6425,229,10587,29%
"April 21","April 27, 2019",Week 17,Total,35625,8501,4294,22830,1199,36824,100%
"April 14","April 20, 2019",Week 16,0-4,6566,1679,213,4674,195,6761,19%
"April 14","April 20, 2019",Week 16,5-19,4967,1387,416,3164,330,5297,15%
"April 14","April 20, 2019",Week 16,20-44,6661,1990,536,4135,230,6891,19%
"April 14","April 20, 2019",Week 16,45-64,6757,1950,549,4258,92,6849,19%
"April 14","April 20, 2019",Week 16,65+,10027,1452,2341,6234,211,10238,28%
"April 14","April 20, 2019",Week 16,Total,34978,8458,4055,22465,1058,36036,100%
"April 7","April 13, 2019",Week 15,0-4,6481,1675,186,4620,173,6654,19%
"April 7","April 13, 2019",Week 15,5-19,4867,1384,382,3101,282,5149,15%
"April 7","April 13, 2019",Week 15,20-44,6548,1979,509,4060,204,6752,19%
"April 7","April 13, 2019",Week 15,45-64,6650,1935,520,4195,89,6739,19%
"April 7","April 13, 2019",Week 15,65+,9682,1439,2191,6052,199,9881,28%
"April 7","April 13, 2019",Week 15,Total,34228,8412,3788,22028,947,35175,100%
"March 31","April 6, 2019",Week 14,0-4,6383,1667,163,4553,161,6544,19%
"March 31","April 6, 2019",Week 14,5-19,4764,1378,352,3034,242,5006,15%
"March 31","April 6, 2019",Week 14,20-44,6370,1957,442,3971,171,6541,19%
"March 31","April 6, 2019",Week 14,45-64,6466,1908,462,4096,86,6552,19%
"March 31","April 6, 2019",Week 14,65+,9117,1404,1902,5811,193,9310,27%
"March 31","April 6, 2019",Week 14,Total,33100,8314,3321,21465,853,33953,100%
"March 24, 2019","March 30, 2019",week 13,0-4,6148,1644,127,4377,130,6278,20%
"March 24, 2019","March 30, 2019",week 13,5-19,4537,1366,281,2890,202,4739,15%
"March 24, 2019","March 30, 2019",week 13,20-44,6059,1910,332,3817,137,6196,20%
"March 24, 2019","March 30, 2019",week 13,45-64,6079,1832,345,3902,76,6155,19%
"March 24, 2019","March 30, 2019",week 13,65+,8224,1360,1479,5385,178,8402,26%
"March 24, 2019","March 30, 2019",week 13,Total,31047,8112,2564,20371,723,31770,100%
"March 17, 2019","March 23, 2019",week 12,0-4,6093,1639,106,4348,115,6208,20%
"March 17, 2019","March 23, 2019",week 12,5-19,4425,1359,240,2826,176,4601,15%
"March 17, 2019","March 23, 2019",week 12,20-44,5905,1882,298,3725,117,6022,20%
"March 17, 2019","March 23, 2019",week 12,45-64,5915,1800,292,3823,70,5985,19%
"March 17, 2019","March 23, 2019",week 12,65+,7852,1320,1265,5267,176,8028,26%
"March 17, 2019","March 23, 2019",week 12,Total,30190,8000,2201,19989,654,30844,100%
"March 10, 2019","March 16, 2019",week 11,0-4,5965,1632,91,4242,95,6060,21%
"March 10, 2019","March 16, 2019",week 11,5-19,4255,1348,175,2732,134,4389,15%
"March 10, 2019","March 16, 2019",week 11,20-44,5709,1845,268,3596,98,5807,20%
"March 10, 2019","March 16, 2019",week 11,45-64,5722,1774,236,3712,67,5789,20%
"March 10, 2019","March 16, 2019",week 11,65+,7344,1288,1097,4959,169,7513,25%
"March 10, 2019","March 16, 2019",week 11,Total,28995,7887,1867,19241,563,29558,100%
"March 3, 2019","March 9, 2019",week 10,0-4,5829,1617,69,4143,83,5912,21%
"March 3, 2019","March 9, 2019",week 10,5-19,4104,1337,131,2636,113,4217,15%
"March 3, 2019","March 9, 2019",week 10,20-44,5506,1802,220,3484,81,5587,20%
"March 3, 2019","March 9, 2019",week 10,45-64,5531,1723,203,3605,59,5590,20%
"March 3, 2019","March 9, 2019",week 10,65+,6816,1241,905,4670,161,6977,25%
"March 3, 2019","March 9, 2019",week 10,Total,27786,7720,1528,18538,497,28283,100%
"February 24, 2019","March 2, 2019",week 09,0-4,5671,1594,58,4019,72,5743,21%
"February 24, 2019","March 2, 2019",week 09,5-19,3892,1321,79,2492,90,3982,15%
"February 24, 2019","March 2, 2019",week 09,20-44,5286,1743,174,3369,69,5355,20%
"February 24, 2019","March 2, 2019",week 09,45-64,5307,1653,168,3486,54,5361,20%
"February 24, 2019","March 2, 2019",week 09,65+,6292,1173,752,4367,157,6449,24%
"February 24, 2019","March 2, 2019",week 09,Total,26448,7484,1231,17733,442,26890,100%
"February 17","23, 2019",Week 08,0-4,5452,1570,42,3840,62,5514,22%
"February 17","23, 2019",Week 08,5-19,3724,1300,58,2366,70,3794,15%
"February 17","23, 2019",Week 08,20-44,5064,1699,139,3226,55,5119,20%
"February 17","23, 2019",Week 08,45-64,5018,1597,139,3282,49,5067,20%
"February 17","23, 2019",Week 08,65+,5755,1110,596,4049,144,5899,23%
"February 17","23, 2019",Week 08,Total,25013,7276,974,16763,380,25393,100%
"February 10","16, 2019",Week 07,0-4,5269,1552,36,3681,54,5323,22%
"February 10","16, 2019",Week 07,5-19,3575,1284,38,2253,63,3638,15%
"February 10","16, 2019",Week 07,20-44,4859,1655,110,3094,49,4908,20%
"February 10","16, 2019",Week 07,45-64,4808,1541,118,3149,48,4856,20%
"February 10","16, 2019",Week 07,65+,5327,1062,487,3778,135,5462,23%
"February 10","16, 2019",Week 07,Total,23838,7094,789,15955,349,24187,100%
"February 3, 2019","February 9, 2019",week 06,0-4,5035,1529,32,3474,47,5082,22%
"February 3, 2019","February 9, 2019",week 06,5-19,3414,1274,31,2109,56,3470,15%
"February 3, 2019","February 9, 2019",week 06,20-44,4663,1617,98,2948,41,4704,20%
"February 3, 2019","February 9, 2019",week 06,45-64,4588,1482,109,2997,44,4632,20%
"February 3, 2019","February 9, 2019",week 06,65+,4957,1013,430,3514,134,5091,22%
"February 3, 2019","February 9, 2019",week 06,Total,22657,6915,700,15042,322,22979,100%
"January 27, 2019","February 2, 2019",week 05,0-4,4775,1493,26,3256,42,4817,22%
"January 27, 2019","February 2, 2019",week 05,5-19,3242,1251,25,1966,46,3288,15%
"January 27, 2019","February 2, 2019",week 05,20-44,4450,1563,87,2800,32,4482,21%
"January 27, 2019","February 2, 2019",week 05,45-64,4367,1418,98,2851,43,4410,20%
"January 27, 2019","February 2, 2019",week 05,65+,4609,966,384,3259,122,4731,22%
"January 27, 2019","February 2, 2019",week 05,Total,21443,6691,620,14132,285,21728,100%
"January 20, 2019","January 26, 2019",week 04,0-4,4446,1444,23,2979,34,4480,22%
"January 20, 2019","January 26, 2019",week 04,5-19,3035,1220,21,1794,40,3075,15%
"January 20, 2019","January 26, 2019",week 04,20-44,4204,1512,77,2615,28,4232,21%
"January 20, 2019","January 26, 2019",week 04,45-64,4110,1364,89,2657,39,4149,20%
"January 20, 2019","January 26, 2019",week 04,65+,4213,911,338,2964,105,4318,21%
"January 20, 2019","January 26, 2019",week 04,Total,20008,6451,548,13009,246,20254,100%
"January 13, 2019","January 19, 2019",week 03,0-4,4072,1412,22,2638,32,4104,22%
"January 13, 2019","January 19, 2019",week 03,5-19,2884,1198,21,1665,34,2918,15%
"January 13, 2019","January 19, 2019",week 03,20-44,3975,1482,73,2420,26,4001,21%
"January 13, 2019","January 19, 2019",week 03,45-64,3887,1325,85,2477,33,3920,21%
"January 13, 2019","January 19, 2019",week 03,65+,3896,883,334,2679,84,3980,21%
"January 13, 2019","January 19, 2019",week 03,Total,18714,6300,535,11879,209,18923,100%
"January 6, 2019","January 12, 2019",week 02,0-4,3679,1351,18,2310,28,3707,21%
"January 6, 2019","January 12, 2019",week 02,5-19,2698,1168,17,1513,29,2727,16%
"January 6, 2019","January 12, 2019",week 02,20-44,3676,1412,62,2202,24,3700,21%
"January 6, 2019","January 12, 2019",week 02,45-64,3601,1253,76,2272,29,3630,21%
"January 6, 2019","January 12, 2019",week 02,65+,3464,816,294,2354,67,3531,20%
"January 6, 2019","January 12, 2019",week 02,Total,17118,6000,467,10651,177,17295,100%
"December 30, 2018","January 5, 2019",Week 1,0-4,3175,1239,15,1921,24,3199,21%
"December 30, 2018","January 5, 2019",Week 1,5-19,2498,1108,15,1375,26,2524,17%
"December 30, 2018","January 5, 2019",Week 1,20-44,3277,1294,55,1928,20,3297,22%
"December 30, 2018","January 5, 2019",Week 1,45-64,3020,1077,70,1873,22,3042,20%
"December 30, 2018","January 5, 2019",Week 1,65+,2792,673,246,1873,43,2835,19%
"December 30, 2018","January 5, 2019",Week 1,Total,14762,5391,401,8970,135,14897,100%
"December 16, 2018","December 29, 2018",Week 51-52,0-4,2512,1058,12,1442,18,2530,22%
"December 16, 2018","December 29, 2018",Week 51-52,5-19,2149,968,9,1172,23,2172,19%
"December 16, 2018","December 29, 2018",Week 51-52,20-44,2634,1118,46,1470,16,2650,23%
"December 16, 2018","December 29, 2018",Week 51-52,45-64,2302,935,60,1307,18,2320,20%
"December 16, 2018","December 29, 2018",Week 51-52,65+,1830,568,214,1048,29,1859,16%
"December 16, 2018","December 29, 2018",Week 51-52,Total,11427,4647,341,6439,104,11531,100%
"December 9, 2018","December 15, 2018",Week 50,0-4,1695,865,5,825,10,1705,22%
"December 9, 2018","December 15, 2018",Week 50,5-19,1629,818,6,805,19,1648,21%
"December 9, 2018","December 15, 2018",Week 50,20-44,1903,898,34,971,13,1916,24%
"December 9, 2018","December 15, 2018",Week 50,45-64,1543,726,49,768,11,1554,20%
"December 9, 2018","December 15, 2018",Week 50,65+,1071,414,181,476,20,1091,14%
"December 9, 2018","December 15, 2018",Week 50,Total,7841,3721,275,3845,73,7914,100%